City,State,Total Search Volume,Average CPC
Abilene,Texas,150,25.84
Akron,Ohio,40,50.6
Albany,New York,80,92.93
Albuquerque,New Mexico,290,13.26
Alexandria,Virginia,20,46.45
Allen,Texas,60,
Allentown,Pennsylvania,110,11.65
Amarillo,Texas,90,73.37
Anaheim,California,80,
Anchorage,Alaska,60,8.64
Ann Arbor,Michigan,20,86.51
Antioch,California,10,
Arlington,Texas,110,97.74
Arvada,Colorado,80,51.5
Athens,Georgia,70,24.21
Atlanta,Georgia,590,49.18
Augusta,Georgia,120,12.97
Aurora,Colorado,30,74.33
Aurora,Illinois,10,
Austin,Texas,1200,114.45
Bakersfield,California,300,78.41
Baltimore,Maryland,230,77.26
Baton Rouge,Louisiana,90,11.68
Beaumont,Texas,20,56.6
Bellevue,Washington,60,
Bend,Oregon,50,45.39
Berkeley,California,30,
Billings,Montana,40,4.93
Birmingham,Alabama,90,44.16
Boca Raton,Florida,50,
Boise,Idaho,160,51.8
Boston,Massachusetts,90,
Boulder,Colorado,100,
Bridgeport,Connecticut,10,
Brockton,Massachusetts,10,
Broken Arrow,Oklahoma,20,17.74
Brownsville,Texas,10,
Buckeye,Arizona,20,137.13
Buffalo,New York,470,79.66
Burbank,California,60,
Cambridge,Massachusetts,10,
Cape Coral,Florida,30,
Carlsbad,California,60,
Carmel,Indiana,20,61.3
Carrollton,Texas,40,
Cary,North Carolina,10,
Cedar Rapids,Iowa,70,22.5
Centennial,Colorado,10,
Chandler,Arizona,120,169.1
Charleston,South Carolina,250,75.55
Charlotte,North Carolina,240,31.94
Chattanooga,Tennessee,150,29.48
Chesapeake,Virginia,50,10.28
Chicago,Illinois,600,54.18
Chico,California,20,5.93
Chula Vista,California,150,
Cincinnati,Ohio,590,41.28
Clarksville,Tennessee,40,12.27
Clearwater,Florida,100,131.43
Cleveland,Ohio,360,59.45
Clinton,Michigan,10,
Clovis,California,10,
College Station,Texas,10,
Colorado Springs,Colorado,3000,130.68
Columbia,Missouri,20,28.55
Columbia,South Carolina,100,26.23
Columbus,Georgia,120,82.5
Columbus,Ohio,820,54.78
Concord,California,20,105.38
Concord,North Carolina,10,
Conroe,Texas,150,78.4
Coral Springs,Florida,10,
Corona,California,10,
Corpus Christi,Texas,120,104.35
Costa Mesa,California,30,
Dallas,Texas,810,136.8
Daly City,California,10,
Davenport,Iowa,20,27.82
Davie,Florida,60,
Dayton,Ohio,360,36.83
Dearborn,Michigan,10,
Deltona,Florida,10,
Denton,Texas,140,89.96
Denver,Colorado,1140,97.74
Des Moines,Iowa,60,48.63
Detroit,Michigan,120,45.96
Downey,California,10,
Durham,North Carolina,30,25.49
Edinburg,Texas,20,24.55
Edison,New Jersey,30,
El Cajon,California,30,
El Monte,California,10,
El Paso,Texas,290,45.06
Elgin,Illinois,10,
Elizabeth,New Jersey,30,
Elk Grove,California,10,
Escondido,California,270,
Eugene,Oregon,10,
Evansville,Indiana,20,11.94
Everett,Washington,30,
Fairfield,California,150,
Fargo,North Dakota,30,28.85
Fayetteville,Arkansas,60,56.38
Fayetteville,North Carolina,30,
Federal Way,Washington,10,
Fishers,Indiana,10,
Fontana,California,30,135.2
Fort Collins,Colorado,140,41.62
Fort Lauderdale,Florida,320,131.68
Fort Wayne,Indiana,80,23.58
Fort Worth,Texas,430,100.97
Fremont,California,100,
Fresno,California,260,42.33
Frisco,Texas,170,
Fullerton,California,90,
Gainesville,Florida,60,
Garden Grove,California,30,
Garland,Texas,40,73.72
Georgetown,Texas,10,
Gilbert,Arizona,210,136.99
Glendale,Arizona,150,
Glendale,California,80,
Goodyear,Arizona,20,176.95
Grand Prairie,Texas,40,
Grand Rapids,Michigan,110,41.67
Greeley,Colorado,30,
Green Bay,Wisconsin,40,23.72
Greensboro,North Carolina,140,29.79
Gresham,Oregon,10,
Hampton,Virginia,20,47.28
Hartford,Connecticut,70,14.06
Hayward,California,40,
Henderson,Nevada,440,
Hesperia,California,10,
Hialeah,Florida,40,
High Point,North Carolina,20,15.94
Hillsboro,Oregon,10,
Hollywood,Florida,50,
Honolulu,Hawaii,60,10.63
Houston,Texas,850,86.34
Huntington Beach,California,30,
Huntsville,Alabama,80,17.07
Independence,Missouri,40,46.13
Indianapolis,Indiana,390,52.05
Inglewood,California,30,
Irvine,California,90,96.86
Irving,Texas,80,
Jackson,Mississippi,60,101.56
Jacksonville,Florida,380,198.51
Jersey City,New Jersey,40,
Joliet,Illinois,60,
