City,State,Total Search Volume,Average CPC
Abilene,Texas,170,25.84
Akron,Ohio,30,50.6
Albany,New York,100,77.06
Albuquerque,New Mexico,670,13.38
Alexandria,Virginia,70,46.45
Allen,Texas,80,
Allentown,Pennsylvania,110,11.65
Amarillo,Texas,190,84.3
Anaheim,California,130,
Anchorage,Alaska,80,8.64
Ann Arbor,Michigan,50,86.51
Antioch,California,30,
Arlington,Texas,160,97.74
Arvada,Colorado,80,51.5
Athens,Georgia,160,24.21
Atlanta,Georgia,780,53.19
Augusta,Georgia,220,12.33
Aurora,Colorado,70,74.33
Aurora,Illinois,50,
Austin,Texas,1230,114.45
Bakersfield,California,830,78.41
Baltimore,Maryland,230,90.66
Baton Rouge,Louisiana,140,10.96
Beaumont,Texas,50,56.6
Bellevue,Washington,100,
Bend,Oregon,60,45.39
Berkeley,California,60,
Billings,Montana,90,4.93
Birmingham,Alabama,110,37.03
Boca Raton,Florida,80,
Boise,Idaho,310,50.96
Boston,Massachusetts,150,
Boulder,Colorado,190,
Bridgeport,Connecticut,40,
Brockton,Massachusetts,40,
Broken Arrow,Oklahoma,20,17.74
Brownsville,Texas,40,
Buckeye,Arizona,30,137.13
Buffalo,New York,690,77.64
Burbank,California,100,
Cambridge,Massachusetts,30,
Cape Coral,Florida,50,
Carlsbad,California,100,
Carmel,Indiana,30,61.3
Carrollton,Texas,50,
Cary,North Carolina,60,
Cedar Rapids,Iowa,30,22.25
Centennial,Colorado,30,
Chandler,Arizona,170,169.1
Charleston,South Carolina,590,75.55
Charlotte,North Carolina,650,34.65
Chattanooga,Tennessee,230,29.03
Chesapeake,Virginia,80,10.28
Chicago,Illinois,970,54.75
Chico,California,30,5.93
Chula Vista,California,210,
Cincinnati,Ohio,870,41.28
Clarksville,Tennessee,60,12.27
Clearwater,Florida,120,131.43
Cleveland,Ohio,320,53.05
Clinton,Michigan,10,
Clovis,California,40,
College Station,Texas,20,
Colorado Springs,Colorado,2400,133.08
Columbia,Missouri,60,16.64
Columbia,South Carolina,180,25.89
Columbus,Georgia,140,82.5
Columbus,Ohio,1060,55.82
Concord,California,40,105.38
Concord,North Carolina,50,
Conroe,Texas,430,78.4
Coral Springs,Florida,30,
Corona,California,50,
Corpus Christi,Texas,200,101.5
Costa Mesa,California,60,
Dallas,Texas,1780,132.55
Daly City,California,30,
Davenport,Iowa,30,27.82
Davie,Florida,70,
Dayton,Ohio,330,36.83
Dearborn,Michigan,30,
Deltona,Florida,30,
Denton,Texas,260,89.96
Denver,Colorado,1860,100.88
Des Moines,Iowa,100,46.17
Detroit,Michigan,110,45.96
Downey,California,30,
Durham,North Carolina,80,25.49
Edinburg,Texas,40,24.55
Edison,New Jersey,50,53.7
El Cajon,California,60,
El Monte,California,10,
El Paso,Texas,1080,41.95
Elgin,Illinois,50,
Elizabeth,New Jersey,60,
Elk Grove,California,50,
Escondido,California,400,
Eugene,Oregon,50,
Evansville,Indiana,50,11.94
Everett,Washington,60,
Fairfield,California,180,
Fargo,North Dakota,90,28.85
Fayetteville,Arkansas,90,54.3
Fayetteville,North Carolina,120,
Federal Way,Washington,40,
Fishers,Indiana,50,
Fontana,California,60,135.2
Fort Collins,Colorado,330,41.62
Fort Lauderdale,Florida,330,131.68
Fort Wayne,Indiana,90,23.58
Fort Worth,Texas,230,100.97
Fremont,California,130,
Fresno,California,470,48.22
Frisco,Texas,180,
Fullerton,California,100,
Gainesville,Florida,170,
Garden Grove,California,30,
Garland,Texas,60,73.72
Georgetown,Texas,70,
Gilbert,Arizona,390,136.99
Glendale,Arizona,170,
Glendale,California,90,
Goodyear,Arizona,50,176.95
Grand Prairie,Texas,50,
Grand Rapids,Michigan,260,42.5
Greeley,Colorado,60,
Green Bay,Wisconsin,70,25.22
Greensboro,North Carolina,480,20.02
Gresham,Oregon,30,
Hampton,Virginia,50,47.28
Hartford,Connecticut,170,14.06
Hayward,California,70,
Henderson,Nevada,480,
Hesperia,California,20,
Hialeah,Florida,50,
High Point,North Carolina,60,15.94
Hillsboro,Oregon,40,
Hollywood,Florida,90,
Honolulu,Hawaii,130,10.63
Houston,Texas,2210,88.64
Huntington Beach,California,60,
Huntsville,Alabama,170,17.07
Independence,Missouri,50,46.13
Indianapolis,Indiana,640,56.73
Inglewood,California,40,
Irvine,California,130,96.86
Irving,Texas,90,
Jackson,Mississippi,30,143.78
Jacksonville,Florida,890,207.87
Jersey City,New Jersey,90,
Joliet,Illinois,80,
Jurupa Valley,California,20,
Kansas City,Kansas,190,17.84
Kansas City,Missouri,650,25.4
Kent,Washington,100,
Killeen,Texas,50,61.26
Knoxville,Tennessee,480,86.77
Lafayette,Louisiana,430,8.1
Lakeland,Florida,240,
Lakewood,Colorado,110,
Lakewood,New Jersey,20,
Lancaster,California,60,
Lansing,Michigan,30,94.25
Laredo,Texas,30,49.08
Las Cruces,New Mexico,150,23.99
Las Vegas,Nevada,5340,76.34
League City,Texas,30,
Lee's Summit,Missouri,30,
Lewisville,Texas,160,
Lexington,Kentucky,340,22.43
Lincoln,Nebraska,310,47.4
Little Rock,Arkansas,150,
Long Beach,California,200,
Los Angeles,California,3050,158.03
Louisville,Kentucky,580,14.34
Lowell,Massachusetts,30,
Lubbock,Texas,100,61.84
Lynn,Massachusetts,20,
Macon,Georgia,120,16.98
Madison,Wisconsin,320,42.39
Manchester,New Hampshire,70,
