City,ST,State,GAds Code
Henderson,NV,Nevada,1022635
Irvine,CA,California,1013883
Santa Ana,CA,California,1014247
North Las Vegas,NV,Nevada,1022649
Plano,TX,Texas,1026695
Gilbert,AZ,Arizona,1013416
Chandler,AZ,Arizona,1013387
Chula Vista,CA,California,1013677
St. Petersburg,FL,Florida,1015206
Port St. Lucie,FL,Florida,1015182
Glendale,AZ,Arizona,1013417
Irving,TX,Texas,1026497
Winston-Salem,NC,North Carolina,1021377
Garland,TX,Texas,1026419
Hialeah,FL,Florida,1015049
Frisco,TX,Texas,1026407
Cape Coral,FL,Florida,1014976
Fremont,CA,California,1013802
McKinney,TX,Texas,1026607
Fontana,CA,California,1013790
Moreno Valley,CA,California,1014033
Worcester,MA,Massachusetts,1018497
Grand Prairie,TX,Texas,1026439
Oxnard,CA,California,1014099
Peoria,AZ,Arizona,1013461
Montgomery,AL,Alabama,1013074
Providence,RI,Rhode Island,1025477
Huntington Beach,CA,California,1013869
Brownsville,TX,Texas,1026248
Glendale,CA,California,1013819
Cary,NC,North Carolina,1021041
Aurora,IL,Illinois,1016280
Pembroke Pines,FL,Florida,1015166
Eugene,OR,Oregon,1024453
Rancho Cucamonga,CA,California,1014167
Garden Grove,CA,California,1013812
Oceanside,CA,California,1014085
Surprise,AZ,Arizona,1013500
Lancaster,CA,California,1013931
Denton,TX,Texas,1026350
Roseville,CA,California,1014204
Palmdale,CA,California,1014108
Corona,CA,California,1013701
Salinas,CA,California,1014210
Paterson,NJ,New Jersey,1022331
Hollywood,FL,Florida,1015054
Hayward,CA,California,1013848
Sunnyvale,CA,California,1014315
Springfield,MA,Massachusetts,1018421
Bellevue,WA,Washington,1027509
Naperville,IL,Illinois,1016710
Joliet,IL,Illinois,1016584
Bridgeport,CT,Connecticut,1014679
Mesquite,TX,Texas,1026619
Pasadena,TX,Texas,1026680
Olathe,KS,Kansas,1017588
Escondido,CA,California,1013771
Gainesville,FL,Florida,1015033
Pomona,CA,California,1014155
Miramar,FL,Florida,9052452
Lakewood,NJ,New Jersey,9052286
Coral Springs,FL,Florida,9051769
Victorville,CA,California,1014370
Elizabeth,NJ,New Jersey,1022108
Meridian,ID,Idaho,1016191
