City,State,Total Search Volume,Average CPC
Henderson,Nevada,2450,
Irvine,California,450,96.86
Santa Ana,California,490,104.01
North Las Vegas,Nevada,1380,
Plano,Texas,1220,216.88
Gilbert,Arizona,900,136.99
Chandler,Arizona,620,169.1
Chula Vista,California,890,
St. Petersburg,Florida,840,58.44
Port St. Lucie,Florida,180,84.44
Glendale,Arizona,920,
Irving,Texas,290,
Winston-Salem,North Carolina,870,14.92
Garland,Texas,210,73.72
Hialeah,Florida,200,
Frisco,Texas,670,
Cape Coral,Florida,170,
Fremont,California,610,
McKinney,Texas,520,134.31
Fontana,California,170,135.2
Moreno Valley,California,100,
Worcester,Massachusetts,120,
Grand Prairie,Texas,210,
Oxnard,California,130,
Peoria,Arizona,390,
Montgomery,Alabama,180,8.82
Providence,Rhode Island,290,
Huntington Beach,California,170,
Brownsville,Texas,80,
Glendale,California,470,
Cary,North Carolina,110,
Aurora,Illinois,130,
Pembroke Pines,Florida,200,
Eugene,Oregon,110,
Rancho Cucamonga,California,370,417.45
Garden Grove,California,140,
Oceanside,California,300,
Surprise,Arizona,190,
Lancaster,California,130,49.66
Denton,Texas,280,89.96
Roseville,California,160,111.04
Palmdale,California,160,
Corona,California,110,
Salinas,California,180,55.71
Paterson,New Jersey,150,
Hollywood,Florida,290,
Hayward,California,240,
Sunnyvale,California,70,
Springfield,Massachusetts,120,
Bellevue,Washington,320,
Naperville,Illinois,110,
Joliet,Illinois,150,
Bridgeport,Connecticut,100,
Mesquite,Texas,80,
Pasadena,Texas,110,
Olathe,Kansas,110,
Escondido,California,1600,
Gainesville,Florida,480,
Pomona,California,180,
Miramar,Florida,190,
Lakewood,New Jersey,100,
Coral Springs,Florida,70,
Victorville,California,150,
Elizabeth,New Jersey,170,
Meridian,Idaho,80,24.47
Torrance,California,160,76.06
Stamford,Connecticut,80,
West Valley City,Utah,80,
Orange,California,370,75.9
Warren,Michigan,70,39.57
Hampton,Virginia,130,47.28
New Haven,Connecticut,120,
Pasadena,California,640,
Kent,Washington,480,
Carrollton,Texas,200,
Round Rock,Texas,110,
Sterling Heights,Michigan,140,
Santa Clara,California,220,
Columbia,Missouri,130,28.55
Pearland,Texas,110,
Clovis,California,100,
West Palm Beach,Florida,1170,156.44
North Charleston,South Carolina,120,
Simi Valley,California,90,
Lakeland,Florida,740,
Thousand Oaks,California,100,
Vallejo,California,150,
Ann Arbor,Michigan,110,86.51
Broken Arrow,Oklahoma,70,17.74
Fairfield,California,900,
Lafayette,Louisiana,2380,8.1
Hartford,Connecticut,360,14.06
Arvada,Colorado,440,51.5
Berkeley,California,170,
Cambridge,Massachusetts,80,
Lowell,Massachusetts,80,
High Point,North Carolina,130,15.94
Richardson,Texas,200,
Goodyear,Arizona,110,176.95
Pompano Beach,Florida,250,178.52
Nampa,Idaho,100,
West Jordan,Utah,80,
New Braunfels,Texas,170,170.32
Miami Gardens,Florida,180,
Waterbury,Connecticut,70,
Provo,Utah,110,
Westminster,Colorado,470,70.22
Elgin,Illinois,110,
Greeley,Colorado,170,
Buckeye,Arizona,90,137.13
Tuscaloosa,Alabama,100,
Allen,Texas,320,
Carlsbad,California,370,
Murrieta,California,120,
Rio Rancho,New Mexico,70,
Temecula,California,120,
Concord,North Carolina,90,
Davie,Florida,320,
Sparks,Nevada,100,
Gresham,Oregon,70,
Pueblo,Colorado,200,
Hillsboro,Oregon,120,
Edison,New Jersey,160,
Sugar Land,Texas,80,
Downey,California,90,
Costa Mesa,California,170,
Spokane Valley,Washington,90,
Jurupa Valley,California,80,
West Covina,California,120,
Boulder,Colorado,520,
Lee's Summit,Missouri,70,
Dearborn,Michigan,90,
St. George,Utah,150,16.16
Woodbridge,New Jersey,70,59.77
Brockton,Massachusetts,100,
Renton,Washington,230,
Sandy Springs,Georgia,290,55.18
Rialto,California,90,
El Monte,California,80,
Vacaville,California,90,59.2
Yuma,Arizona,90,19.58
Burbank,California,340,
Lynn,Massachusetts,60,
Quincy,Massachusetts,80,
El Cajon,California,170,
